,Sentiment,Text
330,neutral,debbie baldwin gave a rockstar performance of the safety demo this evening on vx919 las2sfo bestcrew sherocks
331,positive,thanks
332,positive,thanks for taking care of suuperg on her flight rockstars travel
333,positive,thanks for the lovely soft views travel san to sfo
334,negative,i requested a mileage challenge for status several weeks ago online but haven t heard back how do i get help with this
335,negative,just trying to book tickets to nyc and facing super fun broken styling don t worry i ll keep trying
336,neutral,many thanks for the follow ourprincess freyasfund usa bandie looking for any help
337,neutral,nice lofty view flylaxairport silverstatus
338,negative,applied for status match on feb 1 got confirmation email same day still no news though you guys have dropped ball late flightly
339,neutral,is my new go to airline
340,neutral,virginatlantic gma americanair can you help ourprincess in need of some help in usa
341,positive,i adore you and am so looking forward to my flight to austin in two weeks
342,positive,i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience
343,neutral,flight booking problems flight to uphold my status match do taxes on ticket count as earned status points statusmatch virginamerica
344,negative,trying to check in but looks like your site is down
345,negative,spending my birthday night with you dal dca get me home
346,negative,sent a couple messages to the email you provided but to no avail will try again next year cheers
347,positive,first time flying virgin went to sanfrancisco thanks for the smooth ride easily my new fav airline
348,negative,seriously though will there not be direct flights from sfo fll in may
350,negative,not really the experience i was hoping 4 i ws forced 2 check in a small carry on w nothing but empty cabin space on board
351,negative,wjere is our luggage so slow at lax
352,neutral,to jump into the dallas austin market
353,negative,i spoke with a representative that offered no solution i am a loyal customer who flies on virginatlantic as well
354,negative,i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email
355,negative,what happened to direct flights from sfo fll looking in may only see connecting help dontdothistome
356,neutral,can you help left my blazer in kooples jacket bag at 3rd row second seat from right gate 36 t3 lax flight to sfo
357,neutral,partners with visa checkout as mobile payment method to help boost mobile conversion rates etailwest payments visa
358,positive,just promoting the product is all had a problem with southwest and recommend noneother than the best
359,positive,love you guys but pls get some direct routes las to aus
360,neutral,i would like help with some flights please
361,neutral,bruh virginamerica giannilee turn down for what vxsafetydance
362,positive,of course i work for virginatlantic and i m obsessed with the entire virgin family
363,positive,ok first time flying with you tonight
364,neutral,digging the swanky pink mood lighting during the flight from nyc to sfo just needs a cabaret singer think about it
365,neutral,done but i need the receipt asap could you please help 150219 000114
366,negative,i have 2d and 3d embossed badges and patches superior to the ones you are currently using
367,negative,on vx399 from jfk to la dirty plane not up to your standards
368,negative,on flight vx399 headed to la from jfk dirtiest va plane i have ever been on sad for a great airline
369,positive,got it squared away someone picked up as soon as i tweeted should have tweeted sooner
370,negative,your avis rental continue button doesn t work on your website to book car tried 4 times on phone this sucks
371,negative,delayed to10 30
372,negative,currently in minute 10 of being on hold with cust service do i need to do anything to add a lap child to my reservation
373,neutral,adds pillows instead of lie flat seats in first class arms race   by skift
374,positive,virginamerica karinslee of course have fun celebrating thanks happy chinese new year
375,positive,flight booking problems last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guys
376,negative,comenity bank is a joke please change nothing but constant problems with this bank
377,neutral,i just did how can i dm do u have to also add me
378,positive,for my grandma ella s 80th she would lt 3 a bday greeting from your flight crew she was a stewardess for eastern airlines
379,positive,just bought tix for atx dallas route thanks for adding that love yr airline amp yr website is best transactional site ever
380,neutral,anytime sugafly
381,positive,gave a credit for my late flight flight yesterday great service that s a wow moment unexpected gesture
382,neutral,i need a receipt for a flight change can you send one
383,negative,i submitted a status match request a while back and still haven t heard i m flying on monday can you look accelerate
384,positive,had me at their safety video   loved my first cross country flight livewelltraveled sytycd
385,positive,that doesn t look to fat to me it looks yummy
386,neutral,ceo says southwest amp jetblue have strayed from low cost model
387,neutral,a brilliant brisk am in boston in cue for vx363
388,neutral,atlantic ploughs a lone furrow in the middleeast   thenationaluae
389,neutral,atlantic ploughs a lone furrow in the middleeast   thenationaluae
390,neutral,atlantic ploughs a lone furrow in the middleeast   thenationaluae
391,positive,omg omg nonstop dallas to austin on virgin
392,positive,your planes are really pretty just thought u should know that
393,neutral,when are you flying to hawaii
394,negative,i m pulling my hair out trying to book a flight with u your site doesn t work on iphone or ipad don t have a computer help
395,positive,thank you
396,negative,can i get some help with a support ticket it s been 15 days incident 150202 000419 thank you
397,positive,good to be home texas moodlighting
398,negative,i cannot even open my laptop in seat 4c and i paid a premium for this let me out of here
399,negative,i am in seat 4c and i cannot even open my laptop and i paid extra for this seat
400,neutral,virginamerica if only you guys were starting those flights at the end of the month guess i m still road tripping on feb 27
401,positive,thanks for that been needing a way to make those austin trips from dca and now you ve come through
402,neutral,announced new route to austin w fares from 39 way
404,positive,this is too cool never been on ur planes but now i will
405,neutral,you should have 39 dollar lax las fares
406,positive,great well deserved
407,negative,fyi the info  email address you say to contact in password reset emails doesn t exist emails bounce
408,negative,status match 2 weeks have gone by and no news flt next week hope flt will count towards requirement cust svc no help
409,negative,your website sucks donkey dicks just thought you should know all best
410,neutral,you should still develop an app then you will be my favorite airline
411,negative,all crap channels which is why i pay to watch uk tv
412,positive,got it all set thanks
413,neutral,no a s channel this year
414,neutral,only thing i see on passbook is virgin mobile mexico how do i integrate
415,positive,giants and virgin america a match made in heaven
416,positive,thank goodness also see you friday nwk gt sf boom
417,negative,how come you don t have an iphone app still using and making me waste paper
418,negative,your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname apostrophefail
419,negative,when will vx use all 6 lga slots instead of 4 today adding aus makes this less likely
420,neutral,is helping me step up my tinder game tindertips tinderchamp
421,positive,i luv ur people and product 1 thing is y do u charge for herbal tea but not black tea i m not a caffeine drinker
422,positive,thank you see y all soon i m excited to see the expansion of destinations spread those wings
423,neutral,announces new nonstop connecting austinairport amp dallaslovefield 39 intro
424,neutral,adds austin dallas love field route
425,negative,sad to learn you no longer fly sfo gt phl hope it returns
426,neutral,can you tweet me the cancelled flight chng fee for a flight or can i rebook under one of your affiliates if so who are afiliates
427,positive,has the most incredible customer service i ve ever experienced so refreshing
428,neutral,now when will we see virginamerica come to philadelphia phl
429,positive,am i dreaming did you really just open up a route between dallas and austin and does this mean houston might be next
430,positive,omg finally
431,neutral,to start 5xweekly a319 flights from to dallas dallaslovefield austin on 28apr avgeek
432,neutral,nice to see you expanding in texas but don t forget about us here in sandiego i would love to see more flights out of here
433,negative,kinda sucked my earphone jack didn t work on my flight they may want to look into that for future passengers
434,negative,very poor experience first computer problem now seat malfunction stuck missing meeting in san diego
435,neutral,to battle southwestair on dallaslovefield austinairport route   via usatoday
436,positive,thankyou the dal aus route makes my day
437,positive,awesome deals dal aus for only 39 each way
438,neutral,i miss the nerdbird in san jose
439,positive,love it taking southwestair on in their backyard consumers win when biz competes
440,positive,is flying from love to austin now that is most excellent news
441,neutral,can we make every vx plane with nerdbird why should austin be the only one getting nerd love
442,neutral,please add more frequency to pdx portland
443,positive,congrats vx on the new route
444,negative,i tried that you offered to charge me an additional 1k for a new ticket or be stranded until thurs 1st time last time
445,neutral,americanair can u help with flights to get a 2y old battling cancer who needs treatment in freyabevan fund
446,negative,never had a bad experience before but this one took the cake now extortion for carry on items as well
447,negative,had to spend 5 hours worrying that items in carryon would be broken stolen since i couldn t carry them on plane or lock bag
448,negative,all of group e was told there was no more room in the bins when i got on the plane was room for at least 4 bags in my row
449,negative,thanks for making my flight from lax to jfk a nightmare by forcing me to check my carry on bag at the gate 1
450,negative,i have lots of flights to book and your site it not working i ve been on the phone waiting for over 10 minutes
451,positive,i am all about the in flight artisanal cheese and wine pairing
452,neutral,does virgin america fly direct from seattle to nyc or boston
453,positive,that s classy
454,positive,i m sure a lot of your 747 and 777 jfk lhr flights go a lot faster than 513mph with a strong tailwind
455,positive,now it s just t minus 32 minutes until my elevate a silver upgrade window opens freeneversucks
456,neutral,save some for 871 tomorrow am
457,negative,why is it taking 12 years to fly home to dallas get your shit together
